year,geo,Asset,type,value
2015,AB,Buses,EMPLT,0.003954468805306
2015,AB,Buses,EMPL_DIR,0.002441205539815
2015,AB,Buses,GDPD,0.223135878867682
2015,AB,Buses,GDPT,0.382590717483009
2015,AB,Buses,IMPT,0.474337405335352
2015,AB,Buses,IMP_DIR,0.417947144573765
2015,AB,Buses,IMP_INI,0.113703209935557
2015,AB,Buses,TAXFND,0.000751646699678
2015,AB,Buses,WSLID,0.198557706440171
2015,AB,Buses,WSLIT,0.294593787945761
2015,AB,Communication engineering construction,EMPLT,0.005669366928614
2015,AB,Communication engineering construction,EMPL_DIR,0.002010090179153
2015,AB,Communication engineering construction,GDPD,0.282055819349004
2015,AB,Communication engineering construction,GDPT,0.709863426420874
2015,AB,Communication engineering construction,IMPT,0.273594639899419
2015,AB,Communication engineering construction,IMP_DIR,0.150816665967054
2015,AB,Communication engineering construction,IMP_INI,0
2015,AB,Communication engineering construction,TAXFND,0
2015,AB,Communication engineering construction,WSLID,0.178819188433722
2015,AB,Communication engineering construction,WSLIT,0.437554221097844
2015,AB,Electric power engineering construction,EMPLT,0.004795794360935
2015,AB,Electric power engineering construction,EMPL_DIR,0.002777168876837
2015,AB,Electric power engineering construction,GDPD,0.585550283861635
2015,AB,Electric power engineering construction,GDPT,0.834583745076783
2015,AB,Electric power engineering construction,IMPT,0.159357844108281
2015,AB,Electric power engineering construction,IMP_DIR,0.116282236801746
2015,AB,Electric power engineering construction,IMP_INI,0
2015,AB,Electric power engineering construction,TAXFND,9.27123097931566E-05
2015,AB,Electric power engineering construction,WSLID,0.250975573657417
2015,AB,Electric power engineering construction,WSLIT,0.400825930802049
2015,AB,"Highway, roads, streets, bridges and overpasses",EMPLT,0.006660262162131
2015,AB,"Highway, roads, streets, bridges and overpasses",EMPL_DIR,0.002697892208043
2015,AB,"Highway, roads, streets, bridges and overpasses",GDPD,0.260715620096517
2015,AB,"Highway, roads, streets, bridges and overpasses",GDPT,0.774150972378381
2015,AB,"Highway, roads, streets, bridges and overpasses",IMPT,0.209582409489164
2015,AB,"Highway, roads, streets, bridges and overpasses",IMP_DIR,0.127475432099121
2015,AB,"Highway, roads, streets, bridges and overpasses",IMP_INI,0
2015,AB,"Highway, roads, streets, bridges and overpasses",TAXFND,0.000309562701952
2015,AB,"Highway, roads, streets, bridges and overpasses",WSLID,0.222365687281328
2015,AB,"Highway, roads, streets, bridges and overpasses",WSLIT,0.516756856467254
2015,AB,"Hospitals, health centres, clinics, nursing homes and other health care buildings",EMPLT,0.006498039481166
2015,AB,"Hospitals, health centres, clinics, nursing homes and other health care buildings",EMPL_DIR,0.003024483803577
2015,AB,"Hospitals, health centres, clinics, nursing homes and other health care buildings",GDPD,0.367631235863255
2015,AB,"Hospitals, health centres, clinics, nursing homes and other health care buildings",GDPT,0.751450136391058
2015,AB,"Hospitals, health centres, clinics, nursing homes and other health care buildings",IMPT,0.213577049421838
2015,AB,"Hospitals, health centres, clinics, nursing homes and other health care buildings",IMP_DIR,0.143569890970214
2015,AB,"Hospitals, health centres, clinics, nursing homes and other health care buildings",IMP_INI,0
2015,AB,"Hospitals, health centres, clinics, nursing homes and other health care buildings",TAXFND,0.023560821568512
2015,AB,"Hospitals, health centres, clinics, nursing homes and other health care buildings",WSLID,0.228260387410884
2015,AB,"Hospitals, health centres, clinics, nursing homes and other health care buildings",WSLIT,0.461912720934136
2015,AB,Marine engineering construction,EMPLT,0.006092716010765
2015,AB,Marine engineering construction,EMPL_DIR,0.00300348179712
2015,AB,Marine engineering construction,GDPD,0.399674494259924
2015,AB,Marine engineering construction,GDPT,0.780748115406475
2015,AB,Marine engineering construction,IMPT,0.202505689700565
2015,AB,Marine engineering construction,IMP_DIR,0.128727222317096
2015,AB,Marine engineering construction,IMP_INI,0
2015,AB,Marine engineering construction,TAXFND,0.000850195544975
2015,AB,Marine engineering construction,WSLID,0.297360601690038
2015,AB,Marine engineering construction,WSLIT,0.527364780441296
2015,AB,Other commercial buildings,EMPLT,0.006645011956249
2015,AB,Other commercial buildings,EMPL_DIR,0.003092891493581
2015,AB,Other commercial buildings,GDPD,0.37594630886479
2015,AB,Other commercial buildings,GDPT,0.768446414540365
2015,AB,Other commercial buildings,IMPT,0.21840772914693
2015,AB,Other commercial buildings,IMP_DIR,0.14681715074518
2015,AB,Other commercial buildings,IMP_INI,0
2015,AB,Other commercial buildings,TAXFND,0.001475747564525
2015,AB,Other commercial buildings,WSLID,0.233423174463577
2015,AB,Other commercial buildings,WSLIT,0.472360249925754
2015,AB,Other engine and power transmission equipment,EMPLT,0.002078342277672
2015,AB,Other engine and power transmission equipment,EMPL_DIR,0.001514083576725
2015,AB,Other engine and power transmission equipment,GDPD,0.165058782064211
2015,AB,Other engine and power transmission equipment,GDPT,0.229056766696892
2015,AB,Other engine and power transmission equipment,IMPT,0.023341858601643
2015,AB,Other engine and power transmission equipment,IMP_DIR,0.014443596212303
2015,AB,Other engine and power transmission equipment,IMP_INI,0.739565877282375
2015,AB,Other engine and power transmission equipment,TAXFND,0.007491251093613
2015,AB,Other engine and power transmission equipment,WSLID,0.119140277440774
2015,AB,Other engine and power transmission equipment,WSLIT,0.154700581147931
2015,AB,Other engineering construction,EMPLT,0.006096068966302
2015,AB,Other engineering construction,EMPL_DIR,0.003005134679169
2015,AB,Other engineering construction,GDPD,0.39989444391884
2015,AB,Other engineering construction,GDPT,0.781177778254992
2015,AB,Other engineering construction,IMPT,0.202617133032621
2015,AB,Other engineering construction,IMP_DIR,0.128798063736923
2015,AB,Other engineering construction,IMP_INI,0
